Date,Machine_ID,Shift,Temperature,Voltage,Total_Units,Defect_Units
2025-08-04,M-102 (Etch),Day,47.49584284701987,215.7372917848145,972.0,19
2025-09-22,M-104 (Press),Night,63.19963746379821,223.26842925366753,878.0,17
2025-01-28,M-101 (Drill),Night,51.68980478776608,214.9763648636897,750.0,15
2025-03-17,M-104 (Press),Night,84.43322322653934,222.14350796721212,519.0,62
2025-01-09,M-101 (Drill),Night,59.87364901864623,220.41473633829534,548.0,10
2025-12-05,M-103 (Layer),Night,64.59159516151053,220.95512331597277,980.0,19
2025-03-14,M-103 (Layer),Night,63.00588895003672,212.62839334082724,897.0,17
2025-03-08,M-104 (Press),Night,66.82710491117915,218.20512326343706,529.0,10
2025-04-19,M-105 (Finish),Day,56.94981934605406,225.33211044033618,912.0,18
2025-04-28,M-104 (Press),Day,63.667815781107784,219.87252613878474,794.0,15
2025-08-17,M-102 (Etch),Day,71.63482141678644,217.5873740675042,836.0,16
2025-05-09,M-104 (Press),Day,73.37798086935605,218.738197795634,811.0,16
2025-11-06,M-105 (Finish),Day,58.04603601866226,210.2359862797992,840.0,16
2025-02-10,M-102 (Etch),Night,59.26494107704833,218.58389213364103,833.0,58
2025-10-16,M-105 (Finish),Night,72.42844483033852,230.36480280876546,972.0,19
2025-03-24,M-105 (Finish),Night,61.94735772728956,223.30511286733775,834.0,16
2025-12-02,M-101 (Drill),Day,64.49863251452415,224.6458372669078,739.0,14
2025-07-23,M-102 (Etch),Night,65.79596186816029,222.67006514408533,650.0,45
2025-05-05,M-102 (Etch),Night,73.91640246593641,221.32146895280266,616.0,43
2025-04-10,M-103 (Layer),Night,60.132913268769784,222.06015893267235,818.0,16
2025-12-09,M-103 (Layer),Night,58.49468457623526,216.75691331628022,872.0,17
2025-06-15,M-102 (Etch),Day,59.07136105797223,221.23412192326646,872.0,17
2025-04-02,M-105 (Finish),Night,40.53562040185316,209.52634763229037,969.0,48
